src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,system_process_pid,system_process_name
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,37510,129.6.15.28,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,37510,129.6.15.28,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,0,1,94,1.70E+12,1.70E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
20.189.173.18,52:54:00:c2:9a:03,52:54:00,443,192.168.5.65,ec:9b:8b:02:24:38,ec:9b:8b,61946,6,4,0,0,1.70E+12,1.70E+12,32738,2,1574,1.70E+12,1.70E+12,32738,2,1574,0,0,0,0,0,TLS,Web,1,1,,,,,,-1,
20.189.173.18,52:54:00:c2:9a:03,52:54:00,443,192.168.5.65,ec:9b:8b:02:24:38,ec:9b:8b,61946,6,4,2,0,1.70E+12,1.70E+12,32738,2,1582,1.70E+12,1.70E+12,32738,2,1582,0,0,0,0,0,TLS,Web,1,1,,,,,,-1,
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,45889,13.233.16.117,52:54:00:c2:9a:03,52:54:00,8800,17,4,0,0,1.70E+12,1.70E+12,2065,6,1854,1.70E+12,1.70E+12,2065,6,1854,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,45889,13.233.16.117,52:54:00:c2:9a:03,52:54:00,8800,17,4,2,0,1.70E+12,1.70E+12,2065,6,1878,1.70E+12,1.70E+12,2065,6,1878,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,64491,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,94,2,196,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,106,DNS.WhatsAppFiles,Network,0,6,media.fmaa8-1.fna.whatsapp.net,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,64491,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,94,2,204,1.70E+12,1.70E+12,0,1,94,1.70E+12,1.70E+12,0,1,110,DNS.WhatsAppFiles,Network,0,6,media.fmaa8-1.fna.whatsapp.net,,,,,-1,
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,46373,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,0,0,1.70E+12,1.70E+12,9020,3,222,1.70E+12,1.70E+12,9020,3,222,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,46373,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,2,0,1.70E+12,1.70E+12,9020,3,234,1.70E+12,1.70E+12,9020,3,234,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.5.193,ec:9b:8b:02:24:38,ec:9b:8b,59589,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,235,3,407,1.70E+12,1.70E+12,68,2,178,1.70E+12,1.70E+12,0,1,229,DNS.Microsoft,Network,0,6,v10.events.data.microsoft.com,,,,,-1,
192.168.5.193,ec:9b:8b:02:24:38,ec:9b:8b,59589,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,235,3,419,1.70E+12,1.70E+12,68,2,186,1.70E+12,1.70E+12,0,1,233,DNS.Microsoft,Network,0,6,v10.events.data.microsoft.com,,,,,-1,
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,56654,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,1,2,208,1.70E+12,1.70E+12,0,1,72,1.70E+12,1.70E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,,-1,
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,56654,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,1,2,216,1.70E+12,1.70E+12,0,1,76,1.70E+12,1.70E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,,-1,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,58067,139.59.74.161,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,58067,139.59.74.161,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,0,1,94,1.70E+12,1.70E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,36352,142.250.193.170,52:54:00:c2:9a:03,52:54:00,443,6,4,0,0,1.70E+12,1.70E+12,59398,9,594,1.70E+12,1.70E+12,59398,9,594,0,0,0,0,0,TLS,Web,1,1,,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,36352,142.250.193.170,52:54:00:c2:9a:03,52:54:00,443,6,4,2,0,1.70E+12,1.70E+12,59398,9,630,1.70E+12,1.70E+12,59398,9,630,0,0,0,0,0,TLS,Web,1,1,,,,,,-1,
192.168.2.119,ec:9b:8b:02:24:38,ec:9b:8b,53763,192.168.1.15,52:54:00:60:4e:b0,52:54:00,445,6,4,0,0,1.70E+12,1.70E+12,10701,24,7968,1.70E+12,1.70E+12,10701,13,5267,1.70E+12,1.70E+12,10700,11,2701,NetBIOS.SMBv23,System,0,6,,,,,,-1,
192.168.2.119,ec:9b:8b:02:24:38,ec:9b:8b,53763,192.168.1.15,52:54:00:60:4e:b0,52:54:00,445,6,4,2,0,1.70E+12,1.70E+12,10701,24,8064,1.70E+12,1.70E+12,10701,13,5319,1.70E+12,1.70E+12,10700,11,2745,NetBIOS.SMBv23,System,0,6,,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,48362,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,0,2,226,1.70E+12,1.70E+12,0,1,86,1.70E+12,1.70E+12,0,1,140,DNS.Google,Network,0,6,rr1---sn-o3o-itqz.gvt1.com,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,48362,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,0,2,234,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,144,DNS.Google,Network,0,6,rr1---sn-o3o-itqz.gvt1.com,,,,,-1,
192.168.3.105,ec:9b:8b:02:24:38,ec:9b:8b,48099,13.126.27.131,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.3.105,ec:9b:8b:02:24:38,ec:9b:8b,48099,13.126.27.131,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,0,1,94,1.70E+12,1.70E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
13.107.42.16,52:54:00:c2:9a:03,52:54:00,443,192.168.5.239,ec:9b:8b:02:24:38,ec:9b:8b,64526,6,4,0,0,1.70E+12,1.70E+12,0,1,60,1.70E+12,1.70E+12,0,1,60,0,0,0,0,0,TLS,Web,1,1,,,,,,-1,
13.107.42.16,52:54:00:c2:9a:03,52:54:00,443,192.168.5.239,ec:9b:8b:02:24:38,ec:9b:8b,64526,6,4,2,0,1.70E+12,1.70E+12,0,1,64,1.70E+12,1.70E+12,0,1,64,0,0,0,0,0,TLS,Web,1,1,,,,,,-1,
