src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,46644,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,0,1.6987E+12,1.6987E+12,9014,3,222,1.6987E+12,1.6987E+12,9014,3,222,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,46644,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,2,1.6987E+12,1.6987E+12,9014,3,234,1.6987E+12,1.6987E+12,9014,3,234,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,
192.168.4.56,ec:9b:8b:02:24:38,ec:9b:8b,36966,31.13.79.18,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,37,8,572,1.6987E+12,1.6987E+12,37,5,343,1.6987E+12,1.6987E+12,0,3,229,TLS,Web,0,6,,,,,
192.168.4.56,ec:9b:8b:02:24:38,ec:9b:8b,36966,31.13.79.18,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,37,8,604,1.6987E+12,1.6987E+12,37,5,363,1.6987E+12,1.6987E+12,0,3,241,TLS,Web,0,6,,,,,
192.168.4.196,ec:9b:8b:02:24:38,ec:9b:8b,1785,52.137.106.217,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,1211,23,8041,1.6987E+12,1.6987E+12,1211,12,1357,1.6987E+12,1.6987E+12,975,11,6684,TLS.Microsoft,Cloud,0,6,settings-win.data.microsoft.com,28a2c9bd18a11de089ef85a160da29e4,,,
192.168.4.196,ec:9b:8b:02:24:38,ec:9b:8b,1785,52.137.106.217,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,1211,23,8133,1.6987E+12,1.6987E+12,1211,12,1405,1.6987E+12,1.6987E+12,975,11,6728,TLS.Microsoft,Cloud,0,6,settings-win.data.microsoft.com,28a2c9bd18a11de089ef85a160da29e4,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,33273,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,45,2,432,1.6987E+12,1.6987E+12,0,1,88,1.6987E+12,1.6987E+12,0,1,344,DNS.GoogleServices,Network,0,6,photosdata-pa.googleapis.com,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,33273,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,45,2,440,1.6987E+12,1.6987E+12,0,1,92,1.6987E+12,1.6987E+12,0,1,348,DNS.GoogleServices,Network,0,6,photosdata-pa.googleapis.com,,,,
192.168.4.56,ec:9b:8b:02:24:38,ec:9b:8b,36964,31.13.79.18,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,39,10,698,1.6987E+12,1.6987E+12,39,6,403,1.6987E+12,1.6987E+12,1,4,295,TLS,Web,0,6,,,,,
192.168.4.56,ec:9b:8b:02:24:38,ec:9b:8b,36964,31.13.79.18,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,39,10,738,1.6987E+12,1.6987E+12,39,6,427,1.6987E+12,1.6987E+12,1,4,311,TLS,Web,0,6,,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,40349,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,1,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,40349,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,1,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,43496,162.159.200.1,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,43496,162.159.200.1,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,
